PROBE,%
cg22696995,5
cg04230662,5
cg20255272,5
cg17403881,5
cg19825898,5
cg15079222,5
cg11404532,5
cg23021268,5
cg24295324,5
cg24117376,5
cg14219262,5
cg27582323,5
cg06647782,5
cg08272073,5
cg19273683,5
cg22690075,5
cg25150960,5
cg11802806,5
cg19681352,5
cg10242775,5
cg10798164,5
cg26051619,5
cg01763916,5
cg25285041,5
cg05152781,5
cg11248869,5
cg05460975,5
cg08118140,5
cg26542912,5
cg06810869,5
cg04877893,5
cg22609618,5
cg23955903,5
cg27533767,5
cg25311637,5
cg02202484,5
cg02202484,5
cg26303281,5
cg26924218,5
cg03749081,5
cg10030147,5
cg08851607,5
cg09408951,5
cg01012936,5
cg25593159,5
cg19928648,5
cg00892096,5
cg17984885,5
cg16991637,5
cg27183036,5
cg10801331,5
cg09175833,5
cg22584440,5
cg23452752,5
cg22156674,5
cg18517516,5
cg13066111,5
cg05511886,5
cg21482674,5
cg20442994,5
cg25117841,5
cg03411727,5
cg01878321,5
cg18793512,5
cg18852899,5
cg10651657,5
cg09921423,5
cg10610477,5
cg07025003,5
cg26034355,5
cg03063511,5
cg05513157,5
cg14803005,5
cg03024489,5
cg14828182,5
cg01050423,5
cg27024200,5
cg14333475,5
cg14033253,5
cg08146034,5
cg02551589,5
cg22490845,5
cg25074493,5
cg10788262,5
cg25317319,5
cg00867722,5
cg12226524,5
cg19293019,5
cg00745855,5
cg11063299,5
cg03888814,5
cg13308279,5
cg00540250,5
cg22814961,5
cg08318587,5
cg15743157,5
cg26830902,5
cg18329052,5
cg18530568,5
cg21998638,5
cg10979567,5
cg11574665,5
cg12045080,5
cg06020335,5
cg01315863,5
cg19379924,5
cg08614528,5
cg06841024,5
cg02794920,5
cg12302983,5
cg03455225,5
cg20679403,5
cg06027691,5
cg06706443,5
cg26763945,5
cg26763368,5
cg25158772,5
cg00571041,5
cg07650392,5
cg17189465,5
cg20170443,5
cg08470013,5
cg14554788,5
cg15552626,5
cg15176461,5
cg23091117,5
cg24175311,5
cg13069531,5
cg11735305,5
cg05481879,5
cg19475194,5
cg15929506,5
