TargetID	CHR
cg00005617	X
cg00006815	X
cg00008932	X
cg00008945	X
cg00011200	X
cg00011891	X
cg00012395	X
cg00014152	X
cg00016522	X
cg00016934	X
cg00018204	X
cg00018261	X
cg00021786	X
cg00023415	X
cg00026186	X
cg00027454	X
cg00029931	X
cg00030125	X
cg00031235	X
cg00032666	X
cg00034639	X
cg00034731	X
cg00037117	X
cg00040419	X
cg00040455	X
cg00040923	X
cg00046099	X
cg00051952	X
cg00060882	X
cg00070542	X
cg00072288	X
cg00072587	X
cg00072799	X
cg00072839	X
cg00074638	X
cg00078867	X
cg00098732	X
cg00108056	X
cg00108737	X
cg00111239	X
cg00112256	X
cg00113623	X
cg00114625	X
cg00114913	X
cg00115511	X
cg00116265	X
cg00116709	X
cg00117066	X
cg00117663	X
cg00120172	X
cg00121904	X
cg00123001	X
cg00124708	X
cg00126657	X
cg00126698	X
cg00128197	X
cg00130498	X
cg00136787	X
cg00139317	X
cg00139547	X
cg00140085	X
cg00140189	X
cg00141845	X
cg00142683	X
cg00145348	X
cg00147819	X
cg00148031	X
cg00148587	X
cg00150363	X
cg00150874	X
cg00151234	X
cg00156802	X
cg00157034	X
cg00158454	X
cg00168417	X
cg00170369	X
cg00173270	X
cg00177456	X
cg00179446	X
cg00179598	X
cg00180631	X
cg00188257	X
cg00188409	X
cg00188971	X
cg00190642	X
cg00191052	X
cg00191758	X
cg00191903	X
cg00192980	X
cg00194519	X
cg00194585	X
cg00195237	X
cg00200463	X
cg00202711	X
cg00203568	X
cg00203804	X
cg00205905	X
cg00206332	X
cg00206414	X
cg00207916	X
cg00213805	X
cg00213853	X
cg00213957	X
cg00216997	X
cg00221961	X
cg00224026	X
cg00227584	X
cg00228620	X
cg00230685	X
cg00231549	X
cg00235887	X
cg00238052	X
cg00238131	X
cg00240113	X
cg00241051	X
cg00241296	X
cg00241907	X
cg00242233	X
cg00243584	X
cg00243747	X
cg00245012	X
cg00250879	X
cg00253811	X
cg00255219	X
cg00256358	X
cg00258480	X
cg00260448	X
cg00261039	X
cg00263759	X
cg00264378	X
cg00265812	X
cg00266918	X
cg00267352	X
cg00267883	X
cg00271516	X
cg00272286	X
cg00276426	X
cg00279529	X
cg00279797	X
cg00290944	X
cg00291164	X
